case,qchecker_findings,qchecker_rules
StackExchange/13,1,QC04
stackoverflow-6-10/bug_1,1,QC02
Terra-0-4000/11,1,QC10
Cirq/5,0,
Terra-0-4000/22,1,QC10
StackExchange/18,0,
Terra-4001-6000/Bug_5,0,
StackExchange/9,1,QC04
Terra-0-4000/10,0,
stackoverflow-6-10/bug_3,3,"QC02,QC04,QC10"
StackExchange/14,1,QC04
Terra-0-4000/13,0,
StackExchange/1,0,
Cirq/7,0,
Terra-4001-6000/Bug_8,0,
Terra-0-4000/16,0,
Aer/bug_10,0,
StackExchange/4,1,QC04
Cirq/2,0,
Cirq/6,0,
Terra-0-4000/24,0,
StackExchange/6,1,QC02
Aer/bug_7,3,"QC02,QC03,QC04"
Cirq/4,0,
StackExchange/20,0,
Cirq/3,0,
stackoverflow-6-10/bug_2,1,QC02
Aer/bug_1,1,QC04
StackExchange/17,0,
