dropped_case,n,mean_diff,median_diff,wilcoxon_one_sided_p,wins,losses,ties
Cirq/1,11,0.0794094794094794,0.0,0.03125,5,0,6
StackExchange/10,11,0.0794094794094794,0.0,0.03125,5,0,6
StackExchange/12,11,0.0794094794094794,0.0,0.03125,5,0,6
StackExchange/15,11,0.0794094794094794,0.0,0.03125,5,0,6
StackExchange/3,11,0.0794094794094794,0.0,0.03125,5,0,6
StackExchange/8,11,0.0794094794094794,0.0,0.03125,5,0,6
Terra-4001-6000/Bug_11,11,0.0794094794094794,0.0,0.03125,5,0,6
StackExchange/16,11,0.0703185703185703,0.0,0.0625,4,0,7
StackExchange/5,11,0.0592074592074592,0.0,0.0625,4,0,7
StackExchange/17,11,0.06464646464646463,0.0,0.0625,4,0,7
StackExchange/7,11,0.07435897435897436,0.0,0.0625,4,0,7
StackExchange_2/bug_1,11,0.049106449106449096,0.0,0.0625,4,0,7
